Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0043065~positive regulation of apoptotic process	35	22.0125786163522	3.1191485427410322E-27	BID, TSPO, TNF, TNFRSF12A, CLU, FASLG, BCL2L1, PMAIP1, CTNNB1, SQSTM1, HMOX1, DNAJA1, DIABLO, RHOB, FAS, BMF, TOP2A, CASP2, TXNIP, IL6, BMP2, DNM1L, DFFA, SOD1, BCL2L11, BCL2L10, TNFSF10, PSEN1, IGF2R, BAX, BNIP3L, PSEN2, PDGFRB, GADD45B, GADD45A	159	300	16792	12.321174004192873	6.25389282819577E-24	6.25389282819577E-24	5.364380601087577E-24
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	41	25.78616352201258	3.8842853848564296E-24	IER3, PRF1, TSPO, XIAP, FASLG, PMAIP1, PDCD4, CASP6, PEA15, CASP3, CASP4, CASP9, SQSTM1, CASP7, CASP8, CD2, DIABLO, RHOB, IL1B, FAS, PAK1, DAP, CASP1, BMF, CASP2, IL1A, BCL10, CFLAR, DFFA, BIRC3, DDIT3, BRCA1, BCL2L11, TNFSF10, BAX, IRF1, BIK, GADD45B, GADD45A, CD14, DAP3	159	567	16792	7.636706487859527	7.787992196637141E-21	3.893996098318571E-21	6.680279852687285E-21
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	36	22.641509433962266	2.4697698057546053E-22	IER3, XIAP, MCL1, MGMT, BCL2L2, PPT1, BCL2L1, PDCD4, TIMP1, PTK2, CASP3, CD44, SQSTM1, DNAJA1, RARA, FAS, DNAJC3, CFLAR, IL6, EGR3, RELA, ANXA1, LEF1, BIRC3, SOD2, BCL2L10, CD38, CDKN1A, KRT18, CDKN1B, PSEN1, CCND2, BNIP3L, PSEN2, PDGFRB, HSPB1	159	455	16792	8.355961020111964	4.951888460537983E-19	1.6506294868459946E-19	4.247564697094908E-19
GOTERM_BP_DIRECT	GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process	17	10.69182389937107	5.063937402245804E-17	BID, TNF, FASLG, PMAIP1, BCL2L11, BCL2L10, TNFSF10, CASP3, CDKN1B, BAX, CASP8, DIABLO, DAP, FAS, CASP1, CASP2, F2R	159	83	16792	21.630976737137228	1.0153194491502837E-13	2.538298622875709E-14	8.709071464053251E-14
GOTERM_BP_DIRECT	GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand	13	8.176100628930817	1.425257627524448E-16	CASP3, MCL1, CASP9, ERBB3, BAX, IL1B, BCL2L2, BCL2L1, FAS, CASP2, BCL2L11, IL1A, BCL2L10	159	34	16792	40.380318165001846	2.2259971643734389E-13	4.451994328746878E-14	1.887379141862766E-13
GOTERM_BP_DIRECT	GO:0042981~regulation of apoptotic process	22	13.836477987421384	9.113183876756532E-16	BID, BCL10, CFLAR, MCL1, MADD, CREBBP, BCL2L2, BCL2L1, PMAIP1, BIRC3, BRCA1, PEA15, CASP6, CASP4, CASP9, BAX, CASP8, BNIP3L, BIK, FAS, CASP1, CASP2	159	213	16792	10.908081613369946	1.780797731498751E-12	2.9676261448230434E-13	1.532107773982716E-12
GOTERM_BP_DIRECT	GO:1902042~negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	11	6.918238993710692	3.13742948782231E-13	CFLAR, GPX1, PEA15, TNFSF10, HMGB2, HMOX1, CASP8, FASLG, FAS, HGF, BRCA1	159	33	16792	35.20335429769391	6.290667986519338E-10	8.986666966137591E-11	5.395905944283186E-10
GOTERM_BP_DIRECT	GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage	12	7.547169811320755	4.686314695041585E-13	TNF, MCL1, CASP9, HMOX1, BAX, BCL2L2, BCL2L1, CASP2, BRCA1, BCL2L11, BCL2L10, SOD2	159	47	16792	26.964271376957043	9.395934030820285E-10	1.1744916150746576E-10	8.059553024963861E-10
GOTERM_BP_DIRECT	GO:0043525~positive regulation of neuron apoptotic process	11	6.918238993710692	5.99550051938321E-12	CASP3, CASP9, JUN, BAX, FASLG, PMAIP1, CASP2, BCL2L11, DDIT3, CTNNB1, TGFB2	159	43	16792	27.016527716834865	1.202105237574358E-8	1.3356724615221083E-9	1.0311262954587619E-8
GOTERM_BP_DIRECT	GO:0006921~cellular component disassembly involved in execution phase of apoptosis	9	5.660377358490567	9.429287167655132E-12	SATB1, CASP6, PTK2, CASP3, DNM1L, ROCK1, CASP7, CASP8, BCAP31	159	21	16792	45.261455525606465	1.890561629469545E-8	1.890561596162854E-9	1.6216605835950304E-8
